
0.000036,0.000091,0.000020|6201946.000000,2568702.500000,0.000001|6440897.000000,2505324.750000,0.000000|-6440901.000000,-2505329.250000,0.000000|2505324.750000,6440897.000000,0.000000|-2505329.000000,-6440901.000000,0.000000|-133065787572224.000000,-212905018523648.000000,-26613127315456.000000|-80773688328192.000000,-330437335449600.000000,-95458768715776.000000|
0.000036,0.000093,0.000021|6183969.500000,2611368.000000,0.000001|6423924.000000,2547139.000000,0.000001|-6423928.000000,-2547143.500000,0.000001|2547139.000000,6423924.000000,0.000001|-2547143.250000,-6423928.000000,0.000001|-135400236515328.000000,-216640130121728.000000,-27080016265216.000000|-82190750711808.000000,-336234400448512.000000,-97133445251072.000000|
0.000037,0.000094,0.000021|6165699.500000,2653909.500000,0.000001|6406671.500000,2588842.250000,0.000001|-6406675.500000,-2588847.000000,0.000001|2588842.250000,6406671.500000,0.000001|-2588846.750000,-6406675.500000,0.000001|-137734685458432.000000,-220375224942592.000000,-27546903117824.000000|-83607813095424.000000,-342031465447424.000000,-98808113397760.000000|
0.000038,0.000096,0.000022|6147137.000000,2696325.000000,0.000001|6389140.000000,2630433.000000,0.000001|-6389144.500000,-2630437.750000,0.000001|2630433.000000,6389140.000000,0.000001|-2630437.500000,-6389144.500000,0.000001|-140069126012928.000000,-224110319763456.000000,-28013789970432.000000|-85024875479040.000000,-347828530446336.000000,-100482781544448.000000|
0.000038,0.000097,0.000022|6128282.500000,2738612.500000,0.000001|6371330.500000,2671909.250000,0.000001|-6371335.500000,-2671914.250000,0.000001|2671909.250000,6371330.500000,0.000001|-2671914.000000,-6371335.500000,0.000001|-142403566567424.000000,-227845414584320.000000,-28480676823040.000000|-86441937862656.000000,-353625595445248.000000,-102157449691136.000000|
0.000039,0.000099,0.000022|6109137.500000,2780770.000000,0.000001|6353244.000000,2713269.250000,0.000001|-6353249.000000,-2713274.250000,0.000001|2713269.250000,6353244.000000,0.000001|-2713274.000000,-6353249.000000,0.000001|-144737998733312.000000,-231580509405184.000000,-28947563675648.000000|-87859000246272.000000,-359422626889728.000000,-103832117837824.000000|
0.000040,0.000101,0.000023|6089702.500000,2822795.750000,0.000001|6334881.000000,2754511.000000,0.000001|-6334886.000000,-2754516.250000,0.000001|2754511.000000,6334881.000000,0.000001|-2754516.000000,-6334886.000000,0.000001|-147072430899200.000000,-235315604226048.000000,-29414450528256.000000|-89276062629888.000000,-365219658334208.000000,-105506785984512.000000|
0.000040,0.000102,0.000023|6069978.500000,2864687.500000,0.000001|6316242.000000,2795632.750000,0.000001|-6316247.000000,-2795638.250000,0.000001|2795632.750000,6316242.000000,0.000001|-2795638.000000,-6316247.000000,0.000001|-149406863065088.000000,-239050699046912.000000,-29881337380864.000000|-90693125013504.000000,-371016689778688.000000,-107181454131200.000000|
0.000041,0.000104,0.000023|6049966.500000,2906443.250000,0.000001|6297328.000000,2836632.750000,0.000001|-6297333.000000,-2836638.500000,0.000001|2836632.750000,6297328.000000,0.000001|-2836638.250000,-6297333.000000,0.000001|-151741295230976.000000,-242785793867776.000000,-30348224233472.000000|-92110187397120.000000,-376813721223168.000000,-108856113889280.000000|
0.000041,0.000105,0.000024|6029667.000000,2948061.000000,0.000001|6278139.500000,2877509.250000,0.000001|-6278144.500000,-2877515.250000,0.000001|2877509.250000,6278139.500000,0.000001|-2877515.000000,-6278144.500000,0.000001|-154075727396864.000000,-246520871911424.000000,-30815108988928.000000|-93527249780736.000000,-382610752667648.000000,-110530773647360.000000|
